year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
2005    4.3    2.9    5.5    6.6    8.2   12.3   13.4   13.1   12.0    9.7    4.6    3.7    3.91    6.76   12.96    8.76    8.06
2006    3.3    2.9    2.4    5.7    8.8   12.6   15.6   13.3   13.2    9.8    6.0    4.3    3.31    5.63   13.85    9.70    8.20
2007    4.6    4.0    5.1    8.9    8.7   11.9   12.7   12.5   10.6    9.3    5.9    3.3    4.31    7.56   12.40    8.64    8.16
2008    3.4    4.1    3.6    5.7   10.6   11.2   14.0   13.5   11.2    7.1    4.7    2.3    3.58    6.66   12.94    7.67    7.64
2009    2.5    2.9    4.9    7.8    9.2   12.1   13.8   13.5   11.8    8.9    5.4    0.5    2.55    7.31   13.14    8.71    7.80
2010    0.2    0.4    3.8    6.6    8.3   12.6   13.2   12.4   11.2    8.0    2.7   -1.7    0.36    6.23   12.75    7.33    6.52
2011    2.1    3.6    4.5    9.1    9.2   10.7   12.7   12.1   11.9    9.4    7.6    3.1    1.28    7.59   11.86    9.62    8.02
2012    3.2    4.3    7.1    4.9    8.6   10.4   12.2   13.5   10.3    6.1    4.5    2.3    3.50    6.89   12.04    6.94    7.29
2013    2.8    2.2    1.3    4.8    8.3   11.5   15.3   13.6   11.1    9.3    4.1    5.0    2.45    4.80   13.50    8.21    7.49
2014    3.5    3.8    5.4    7.9    9.7   12.8   14.5   12.2   12.4    9.1    6.4    3.1    4.11    7.69   13.18    9.29    8.43
2015    2.5    2.9    4.3    6.4    7.5   10.6   12.2   12.9   10.8    8.7    6.2    5.4    2.84    6.07   11.93    8.55    7.56
2016    3.1    2.2    4.6    5.1    9.7   12.2   13.1   13.3   12.7    8.4    3.4    5.6    3.57    6.49   12.89    8.15    7.80
2017    3.5    4.0    5.4    6.7   10.6   12.1   12.9   12.8   11.2    9.6    4.1    2.9    4.37    7.58   12.63    8.29    8.01
2018    2.1    1.6    2.3    6.6   10.7   13.0   14.9   12.9   10.4    8.0    6.2    4.1    2.21    6.53   13.62    8.19    7.77
2019    2.4    5.1    5.2    7.5    8.3   11.6   14.7   13.9   11.4    7.2    3.6    4.1    3.85    7.01   13.41    7.37    7.93
2020    4.8    3.1    4.2    7.1    9.7   12.6   12.3   13.5   11.0    7.9    6.6    3.4    4.03    6.97   12.81    8.47    8.02
2021    0.5    2.5    5.3    4.6    7.6   12.5   15.1   13.7   13.0    9.2                  2.12    5.83   13.76                
